"Add All to Cart Button in Table Footer","Læg alle i kurv-knap i bunden af tabellen"
"Add to Cart Buttons for Each Row","Læg i kurv-knapper for hver række"
"Disable","Deaktiver"
"Enable","Aktiver"
"Grouped Products Pro","Grouped Products Pro"
"Quantity Fields","Mængdefelter"
"Settings","Indstillinger"
"Show Price Column","Vis priskolonne"
"Table Settings","Tabelindstillinger"
"Tier Price Columns","Mængderabat-kolonner"
"Use config","Brug konfiguration"
"Visible in Grouped Product Table","Synlig i tabellen for grupperede produkter"
