"Add All to Cart Button in Table Footer","Add All to Cart Button in Table Footer"
"Add to Cart Buttons for Each Row","Add to Cart Buttons for Each Row"
"Disable","Disable"
"Enable","Enable"
"Grouped Products Pro","Grouped Products Pro"
"Quantity Fields","Quantity Fields"
"Settings","Settings"
"Show Price Column","Show Price Column"
"Table Settings","Table Settings"
"Tier Price Columns","Tier Price Columns"
"Use config","Use config"
"Visible in Grouped Product Table","Visible in Grouped Product Table"
