"Manage Gift Cards","Gestione Gift Cards"
"Add New Gift Card","Nuova Gift Card"
"Save Gift Card","Salva Gift Card"
"Delete Gift Card","Elimina Gift Card"
"Resend Gift Card","Reinvia Gift Card"
"Edit Gift Card \'%s\'","Modifica Gift Card \'%s\'"
"New Gift Card","Nuova Gift Card"
"Card ID","Card ID"
"Card Code","Card Code"
"Initial Value","Valore Iniziale"
"Current Balance","Valore Caricato"
"Order","Ordine"
"View","Mostra"
"Date Created","Data Creazione"
"Card Type","Tipo Carta"
"Print","Stampa"
"E-mail","E-mail"
"Offline","Offline"
"Status","Stato"
"Active","Attivo"
"Inactive","Inattivo"
"Delete","Elimina"
"Are you sure?","Sei sicuro?"
"Resend","Reinvia"
"Manage Gift Cards","Gestione Gift Cards"
"Gift Card Information","Informazione Gift Card"
"Gift Card Information","Informazione Gift Card"
"Gift Card Info","Info Gift Card"
"Card Code","Card Code"
"Initial Value","Valore Iniziale"
"Order","Ordine"
"Initial Value","Valore Iniziale"
"Current Balance","Valore disponibile"
"Status","Stato"
"Active","Attivo"
"Inactive","Inattivo"
"Gift Card Type","Tipo Gift Card"
"E-mail","E-mail"
"Print","Stampa"
"Recipient Info","Info Destinatario"
"Offline Address (for offline cards only)","Indirizzo postale (Solo per invio per posta)"
"To Name","A Nome"
"To Email","A Email"
"From Name","Da Nome"
"Message","Messaggio"
"Card amount is not within the specified range.","Il valore della Gift Card non è nell'intervallo specificato."
"%s was added to your shopping cart.","%s è stato aggiunto al carrello."
"Cannot add the item to shopping cart.","Impossibile inserire l'articolo nel carrello."
"To redeem your gift card or to use your gift card balance you need to be logged in.","Per riscattare la vostra gift card o per utilizzare il valore caricato delle gift card, devi essere loggato."
"Gift Card ""%s"" was applied.","E' stato applicato Gift Card ""%s""."
"Gift Card ""%s"" is not valid.","Gift Card ""%s"" non corretto."
"To redeem your gift card or to use your gift card balance you need to be logged in.","Per riscattare la vostra gift card o per utilizzare il valore caricato delle gift card, devi essere loggato."
"To redeem your gift card you need to be logged in.","Per riscattare la vostra gift card devi essere loggato."
"Gift Card ""%s"" was applied.","Gift Card ""%s"" è stato applicato."
"Gift Card ""%s"" is not valid.","Gift Card ""%s"" non è corretto."
"Gift Cards","Gift Cards"
"Cards Status","Situazione delle carte"
"Card Status", "Stato Carta"
"Card does not exists","Card inesistente"
"Gift card was successfully saved","La Gift card è stata salvata"
"Unable find gift card to save","Impossibile trovare la  gift card da salvare"
"Gift card was successfully deleted","Gift card è stata cancellata"
"Please select gift card(s)","Seleziona gifcard(s)"
"Total of %d geftcard(s) were successfully deleted","In totale %d geftcard(s) sono state eliminate"
"Please select gift card(s)","Seleziona gifcard(s)"
"%d giftcard(s) were successfully resent","%d giftcard(s) sono state reinviate"
"There was an error processing your order. Please contact us or try again later.","C'è stato un errore nella gestione del vostro ordine. Contattateci o provate più tardi."
"Please specify the product\'s option(s).","Specificate le opzioni prodotto."
"My Gift Cards","Le mie Gift Cards"
"My Gift Card balance","Valore disponibile delle mie Gift Card"
"Enter the Gift Card code","Inserire il codice della Gift Card"
"Redeem","Riscatta"
"Card Type","Tipo Gift Card"
"Move to Wishlist","Sposta nella Wishlist"
"Gift Gards","Gift Gards"
"Use my Gift Card balance.","Utilizza l'importo disponibile delle mie my Gift Card."
"Or redeem and use your Gift Card now:","O riscatta ed utilizza la tua Gift Card ora:"
"Redeem and Use","Riscatta ed usa"
"To use your gift cards, please <a href=""%s"">register</a> or <a href=""%s"">log in</a>.","Per utilizzare le gift cards,  <a href=""%s"">registrati</a> o <a href=""%s"">loggati</a>."
"Choose the type of Gift Card","Scegli la tipologia della Gift Card"
"E-mail Gift Card (to someone or yourself)","Gift Card per E-mail (a qualcuno o a te stesso)"
"Print-Out Gift Card","Stampa Gift Card"
"Send by post office","Invio tramite posta ordinaria"
"Amount","Importo"
"Recipient E-mail","Email del destinatario"
"To","A"
"From","Da"
"Purchased Gift Cards","Carte acquistate"
"Message","Messagio"
"Card Balance","Importo disponibile"
"Gift card value","Valore Carta Regalo"
"Gift card claim code","Codice Carta Regalo"

